x,y,f1_106,f2_181,f3_280,f4_370,f5_493,f6_679,f7_725,f8_836,f9_979,f10_1191,f11_1369
-0.027,-0.152470857142857,0.000841034934010649+7.35815539803775e-05i,0.00145100347652112+0.00122912105216568i,0.00310964645713175+0.00184721347654989i,0.00515632918270848+0.000983903605639225i,0.00638787899893071-0.00134758629273691i,0.00573628782164901-0.00502893977585084i,0.0024298218799303-0.00748635160218137i,-0.00134648426027852-0.00695837689629745i,-0.00337370610187389-0.00440021516642165i,-0.00317459655248973-0.00177168333449723i,-0.00176150125862126-0.00046292592918228i
-0.027,-0.211328,-0.000407125559506826+0.001295615557294i,-0.000940021954453524-0.00198636055109735i,-0.00533030442364019-0.00457369761241768i,-0.0120077603605783-0.00212040034197073i,-0.0154977147847602+0.00621699540337477i,-0.0112526696727776+0.0181016521958916i,0.00218210766267607+0.0238526549847073i,0.0155020237980857+0.0182267571470552i,0.020735040260079+0.00645382731832869i,0.0178687603333815-0.00369886889653273i,0.0117338461344424-0.00875663323014165i
0.023,0.200672,-0.0012266307356665+0.00198786947435573i,-0.00062652345488683+0.00240620466809763i,0.00010028372728867+0.00258082035853795i,0.000847181697231422+0.00249235719347816i,0.00151888056005443+0.00214489541897208i,0.00262256342644855+0.00148259028900987i,0.0032977238169987+0.00030711382561175i,0.0033511708805406-0.00107733270230695i,0.00278507722646543-0.00235384160147367i,0.00173442386493857-0.00326057474386768i,0.000446145664135678-0.00363525279382064i
0.023,0.141814857142857,-0.00574888745962445-0.00201822602015825i,-0.00917485202811361-0.00104884092365555i,-0.0122619611563749+0.00341829515026107i,-0.0120239276003163+0.0104381890839411i,-0.00709693803823837+0.0168630261853912i,0.00266385713466943+0.0198293870587416i,0.0122488921782906+0.0157253882734849i,0.0169785040035433+0.00715185663313117i,0.016067296707907-0.00141837523565671i,0.0117052387393381-0.00708992522476555i,0.00648073769645422-0.00950061512170724i
0.023,0.0829577142857143,-0.0105415995145312-0.00388816176815871i,-0.0155354180371409-0.00101190079567245i,-0.0191703702086493+0.00666737136979483i,-0.0177414515876692+0.0172798606546698i,-0.00991148692835081+0.0265851784208744i,0.00498224957759506+0.0306413993217776i,0.0194334773562712+0.0242866078899785i,0.0267690208034626+0.0112934422271525i,0.0257152734837831-0.0019499114690864i,0.0192437370378488-0.0110320660371447i,0.0112372766080349-0.0151504279543392i
0.023,0.0241005714285714,-0.00497320110880202-0.00229031417752539i,-0.00760512649697549+5.60528547678511e-06i,-0.00905584997261829+0.00484215827058801i,-0.00739062359218716+0.0109067773815355i,-0.00212056949444831+0.0157384162943888i,0.00699148116419135+0.0169338711076049i,0.0153099000995299+0.0118821800433592i,0.0190528817755043+0.00302062635024808i,0.0175433825019938-0.00590326815339895i,0.0124433731883793-0.0122868772684535i,0.00594819973890803-0.0155058453697249i
0.023,-0.0347565714285714,-0.00233928137757172-0.00139327017669087i,-0.00401237560779545-0.000148020226963401i,-0.0050617175581504+0.00269146440720509i,-0.00426031177217098+0.00638994214983524i,-0.00122191964928043+0.00946643054051279i,0.00429913081637064+0.0104663120399288i,0.00957051604508244+0.00762766395540961i,0.0121983499297373+0.00229527186872083i,0.0116335721541573-0.00327670569112683i,0.00880150465472921-0.00745134930261113i,0.00502829589369195-0.00979659485179743i
0.023,-0.0936137142857143,-0.015210199282419-0.00553959066785268i,-0.0227154884696025-0.00144802657651018i,-0.02830266764541+0.0100287763294738i,-0.0260952924687294+0.0260945388627893i,-0.0139461773665496+0.0400458344713593i,0.00875891289439512+0.0457154485151521i,0.0304382232075042+0.0354866575069214i,0.0409392406584971+0.0153990659331274i,0.0385731036871859-0.00463265289548752i,0.0281380714465846-0.0179701389532734i,0.0156325040738992-0.0235425618800294i
0.023,-0.152470857142857,0.00394398282749773-0.000285141440236141i,0.00420090671300356-0.00108312180465005i,0.00413093500448112-0.00197856758210502i,0.00375273549944541-0.00282194463326295i,0.00310768538368466-0.00349599219292315i,0.00196636783106307-0.00454846957348867i,0.000425509347698601-0.0049751050333042i,-0.00109413010970419-0.00468843540695569i,-0.00226695622977567-0.00384864836220201i,-0.00291127460963866-0.00273720104008337i,-0.00303434337537961-0.00170135536984278i
0.023,-0.211328,0.000622489488375216-0.000130851290649409i,-0.00277722253955784-0.00408601331186168i,-0.00950326354786345-0.0040808813464185i,-0.0153317095592261+0.00181955043092887i,-0.0156907733369858+0.0113121027921923i,-0.00822360793656463+0.020639563868079i,0.00397332975502228+0.0223732462056185i,0.0138020739192549+0.0161265840807775i,0.0173825667176866+0.00650611139957405i,0.0154663198911936-0.00178824737610162i,0.0108239527364467-0.00680298209311611i
0.074,0.200672,-0.00145831890831044+0.00194874043212199i,-0.000944623523977906+0.0025140885390022i,-0.000205060188754925+0.00286230958601003i,0.00063449427130285+0.00291926749440288i,0.00145279864818904+0.0026708828530067i,0.00281079568943427+0.00216136414588669i,0.00384097068353456+0.000978786778152278i,0.0042088410055532-0.000591726093911572i,0.00382696884862866-0.00215026366000598i,0.00281846275492588-0.00333749983365425i,0.0014708948729841-0.00390790376156119i
0.074,0.141814857142857,-0.00925045884855019+0.00389735467836861i,-0.00882155692323655+0.00611865393798419i,-0.00745690222411248+0.00818324076782254i,-0.00538105539747288+0.00966661519074678i,-0.00289656515193298+0.0103372745484981i,0.00134278198418189+0.0111784812225124i,0.00575419232281913+0.00984128238181116i,0.00904539329214498+0.00656229224777865i,0.010446266619499+0.00225604831290372i,0.00979828520653584-0.00200988153258318i,0.00748855249443028-0.00525322350476805i
0.074,0.0829577142857143,-0.0140280984494869+0.00651800706357706i,-0.013178388108734+0.0100202448495398i,-0.0108621117334938+0.0132236955246213i,-0.00744581409555695+0.0154757107181829i,-0.00341033205602056+0.0164210609565186i,0.00348925136307345+0.0175272389550349i,0.0105784844310127+0.0151314502186659i,0.0158119418590967+0.00962518372088411i,0.017958348856626+0.00244711527007039i,0.0167277466861061-0.00470932822822001i,0.0126900281356045-0.010251640964579i
0.074,0.0241005714285714,-0.00636825711048916+0.00437338340898379i,-0.00557929021370393+0.00640422561121267i,-0.00389676369382028+0.00812114747709603i,-0.00158308732137345+0.00913565911716474i,0.00102959406693408+0.00924226694383406i,0.00542962607873334+0.00902064862956699i,0.00961807987044673+0.00645051477366875i,0.0122550406007448+0.00191655539046908i,0.0125487952946061-0.00355121243808983i,0.010333684540053-0.00875594627152284i,0.00603996534758864-0.0125730275424895i
0.074,-0.0347565714285714,-0.00356065955233262+0.00270236491765741i,-0.00308744297100124+0.00400059458491815i,-0.00203076578669036+0.00512276344820709i,-0.000547736918035463+0.00581153685269986i,0.00115484174219762+0.00592409203144696i,0.00404202363123188+0.00585398990088676i,0.00686792539692283+0.00425796930578302i,0.00876240500626148+0.00133147823146285i,0.00918339917335196-0.00230517940249433i,0.00797655870296249-0.00590731616407442i,0.00536108060825096-0.00875558123999537i
0.074,-0.0936137142857143,-0.0209517659848235+0.00965847008164572i,-0.0196461861078372+0.0149367568296882i,-0.0161352152963104+0.0197529610578114i,-0.0109734822687142+0.0231171230305999i,-0.00489843762891416+0.0244908267356266i,0.00540931231730589+0.0259808736118395i,0.0158746365101214+0.0222057638921663i,0.0234258536930452+0.0138303352513976i,0.0262539145439213+0.00308870123990349i,0.0239995204166324-0.00742098988630173i,0.0176245015987636-0.0152951610927013i
0.074,-0.152470857142857,0.00325431859527103+0.000672781624457787i,0.00374434971613032+0.000143047453845044i,0.00397835879380373-0.000619489896567094i,0.00391656450683386-0.00145040333835552i,0.00357794663675444-0.0022227251444615i,0.00295995825298478-0.0034604513580734i,0.00180056682808486-0.00434126679233038i,0.000432100273870377-0.00461364878873632i,-0.000799382296414971-0.00429863314260978i,-0.00164869317514069-0.0035750826303752i,-0.00199792644295085-0.00272308567199478i
0.074,-0.211328,0.000705658229553718+0.000299161778516416i,-0.00171095305167178-0.00353309746983769i,-0.0075812487673476-0.00467784777987125i,-0.0138707648253871-0.000520330444940957i,-0.0160504600205352+0.00808060589749611i,-0.0109316179006789+0.0184670029801624i,0.000892354753558049+0.0228942185929401i,0.0125445326450307+0.0184895010945237i,0.0183446273004301+0.00873856649880599i,0.0175190688899889-0.000883764633216317i,0.0127763745396898-0.00709827166537542i
