x,y,f_{1} = 112,f_{2} = 171.5,f_{3} = 286.5,f_{4} = 382,f_{5} = 502.5,f_{6} = 686,f_{7} = 737.5,f_{8} = 841.5,f_{9} = 994,f_{10} = 1206,f_{11} = 1382.5
-0.027,0.141814857142857,0.00795624182499472+0.00865067621176733i,0.0108474286669381+0i,-0.00954054013459083+0.00716958279644167i,-0.161417351668847-0.207189648085394i,-0.0417235375054434-0.00482841298806489i,-0.101267094902962-0.125343359542028i,-0.173353411653577-0.10386614275757i,0.0132973098612162-0.0693810771950119i,0.141270795737645-0.24768987413359i,0.262096724373804-0.0561524217756895i,0.0921216497666247+0.0584194761904776i
-0.027,0.200672,0.00409554822028607+0.00429535914173481i,0.00603867671684485+0i,-0.0111561371601211+0.0102875952624224i,0.0146888798005753+0.0632573713709214i,-0.0218440271624372+0.0487467957035991i,-0.0357695040147534-0.0184761430746656i,-0.0524525773758471-0.0121558189374684i,-0.00587751022062248-0.0247684957842447i,-0.00312115005619121-0.123477920148898i,0.102533487941037-0.0995874665918758i,0.0552917498391717-0.0452105141408789i
0.023,-0.211328,0.00322872604713825+0.00320206398151065i,0.00426491243651706+0i,0.0107329371491456+0.0197796064931034i,0.0248109259581962+0.0559274772438005i,-0.00382169415547943+0.00208157468849696i,0.00247926289147279-0.00817822692293891i,0.00651584530714285-0.0148538152201724i,0.0062497365544725-0.0139243730092711i,0.0071447302990216-0.169897486340627i,0.0235302698160412-0.020973247124968i,0.0444103033247042+0.0152925288287136i
0.023,-0.152470857142857,0.0128317300579555+0.0108063033953206i,0.0137109875052181+0i,0.0120135592479473+0.0390118206314793i,0.0491926192245155+0.115072212789293i,-0.0188552320000301-0.0237340038498778i,0.0216067658904495-0.0114343016266818i,0.129536157854614-0.058176245461174i,0.0374612872368664-0.0550567648506456i,0.157863162585679-0.672949454296155i,0.0696757175551553-0.0192105713905448i,0.129470079697788+0.0904937189005185i
0.023,-0.0936137142857143,0.0175389639305283+0i,0.0141594337171494+0i,-0.0275324343250375+0.010032265891443i,-0.19409376283352-0.169922125553301i,-0.0419354498110571-0.0921533372987979i,0.073777210559103-0.011178661306016i,0.277325547322533-0.0742284646228324i,0.0767531563268902-0.081134156405263i,0.289051307588732-0.763081791286641i,0.108516055559177-0.0229199651981593i,0.0473187275467069-0.039633869135761i
0.023,-0.0347565714285714,0.0135589830151787+0i,0.00999868718221597+0i,-0.0281427807312209-0.0241180560376124i,-0.45620115437999-0.666006158944481i,-0.057305922413192-0.103009318555004i,0.0700768693798705-0.0337516130481911i,0.178265085843179-0.0656454229204526i,0.0682321521709525+0i,-0.035988444230432-0.151821419905951i,0.100187149348001-0.0322384815421119i,-0.087509589782614-0.123869056173719i
0.023,0.0241005714285714,0.0116875529007098+0i,0.00890176501669439+0i,-0.000713120074196754-0.0152313868151332i,-0.569686155732339-0.905971873375327i,-0.0666859133568301-0.0614935302738026i,-0.0104758749645931-0.0525396262096929i,0.00310999369097019-0.0504665124862573i,0.0217538015590488-0.0312456604690448i,-0.282075859554834+0.272690753386944i,-0.11008172381203-0.0751240238672784i,-0.100957839920394+0.129248774531409i
0.023,0.0829577142857143,0.0130603077528028+0i,0.0111735782154095+0i,0.00855586333856679-0.00778673811346915i,-0.504395882130414-0.813771726969388i,-0.0641360659728165-0.0393671248789437i,-0.10649351340476-0.145955349776251i,-0.177231122802071-0.131691507088744i,0.0162274896449195-0.0465024659076718i,-0.12496047446395+0.0295387745278682i,-0.0718831289090872-0.13271182218427i,-0.0749388063229287+0.211889842575211i
0.023,0.141814857142857,0.00636223550921343+0.0094621870926201i,0.00336631947919586+0.0104906303328814i,-0.00236429859049987+0.0184895366936653i,-0.163268259831185-0.213216509498342i,-0.0424473619491005-0.00371655736567793i,-0.0953749495002762-0.126278545945067i,-0.162595147562387-0.114707738000845i,0.00931771384491233-0.0597435928299303i,0.178819399468125-0.277053480703587i,0.240455531413846-0.0688982090037275i,0.0820811613097601+0.0575535929943709i
0.023,0.200672,0.00551814960846395+0i,0.00610588894576779+0i,-0.00658250469157437+0.0190311601561462i,0.017505224060286+0.0559897044820294i,-0.0192205943096921+0.0375248803875253i,-0.0353021846084541-0.0210554391253015i,-0.0471700700795107-0.0189569247471857i,-0.00616895722769545-0.0238474221260296i,0.0152161856688065-0.154711668610138i,0.0987097274209083-0.103354494286647i,0.0552727111727242-0.054018872296745i
0.074,-0.211328,0.00216224448623483+0.00160211577634152i,0.00189614356334323+0i,0.000598503015527632+0.0053518628736404i,0.0126865790490038+0.0343117097151331i,-0.00161418475216733-0.00163983435044432i,-0.0031002842548025-0.00153292541784513i,0.0220126892320701-0.00658453681013315i,0.00448413289181214-0.00796882633809416i,-0.00447936243279871-0.112539584126048i,0.0279571613603298-0.0274326685675876i,0.0232883164340223-0.00237364274748708i
0.074,-0.152470857142857,0.00936200067770528+0.00527645254863471i,0.00636062769288364+0i,-0.00991466064369073+0.0148610831043753i,0.0772940611284735+0.154516740035322i,-0.00286393742612289-0.0162074242439777i,-0.0193003001561337+0.00956097934478318i,0.0907432017248368-0.0101936793325467i,0.0133637483465292-0.0228045515505512i,0.0101302042480306-0.292047132965737i,0.0826819880219147-0.0184520899842116i,0.0414071076669751-0.00967718878206092i
